Time,DEFLECTION_DV,ALMIGHTY_POS_REL_EARTH,ALMIGHTY_VEL_REL_EARTH,ALMIGHTY_X,ALMIGHTY_Y,ALMIGHTY_Z,ALMIGHTY_DX,ALMIGHTY_DY,ALMIGHTY_DZ,MERCURY_X,MERCURY_Y,MERCURY_Z,MERCURY_DX,MERCURY_DY,MERCURY_DZ,EARTH_X,EARTH_Y,EARTH_Z,EARTH_DX,EARTH_DY,EARTH_DZ
10-Mar-20,5.78,105581589.6,24.59,-56682546.55,-29225494.81,2811602.13,-25.14,-44.64,0.89,-56682546.55,-29225494.81,2811602.13,12.28,-41.17,-4.49,-146126088.5,26804969.19,-1223.15,-5.86,-29.4,0
11-Mar-20,5.88,104926096.9,22.31,-58751311.7,-33027308.16,2883071.21,-22.8,-43.38,0.77,-55515262.75,-32725542.04,2418516.85,14.72,-39.83,-4.6,-146610392.1,24260991.65,-1112.54,-5.35,-29.49,0
12-Mar-20,6,104362479.7,20.29,-60630077.98,-36722538.39,2945214.01,-20.73,-42.17,0.67,-54142900.14,-36104774.42,2016491.07,17.03,-38.38,-4.7,-147050716.3,21709648.06,-976.8,-4.84,-29.57,0
13-Mar-20,6.14,103867807.9,18.49,-62340322.43,-40315869.83,2999168.6,-18.89,-41.02,0.58,-52576183.25,-39354474.65,1607220.94,19.22,-36.83,-4.77,-147446940.5,19151643.66,-817.55,-4.33,-29.64,0
14-Mar-20,6.29,103423659.4,16.87,-63899763.52,-43811809.55,3045866.59,-17.24,-39.92,0.5,-50825732.52,-42466712.84,1192328.72,21.28,-35.2,-4.83,-147798940,16587696.4,-638.09,-3.82,-29.71,0
15-Mar-20,6.45,103015116,15.41,-65323210.04,-47214612.94,3086081,-15.74,-38.86,0.43,-48902046.44,-45434269.47,773367.43,23.23,-33.48,-4.87,-148106592.3,14018540.72,-442.87,-3.3,-29.76,0
16-Mar-20,6.63,102630020.9,14.11,-66623181.02,-50528255.62,3120461.05,-14.37,-37.85,0.37,-46815491.42,-48250565.52,351825.63,25.05,-31.7,-4.89,-148369782.8,11444928.35,-237.01,-2.79,-29.81,0
17-Mar-20,6.81,102258420.7,12.94,-67810367.32,-53756430.25,3149557.76,-13.12,-36.88,0.31,-44576298.06,-50909599.51,-70867.76,26.76,-29.84,-4.89,-148588409.9,8867627.04,-25.79,-2.27,-29.85,0
18-Mar-20,6.99,101892136.7,11.89,-68893981.16,-56902556.1,3173843.22,-11.97,-35.95,0.25,-42194562.41,-53405890.95,-493338.75,28.35,-27.93,-4.88,-148762389,6287418.16,185.7,-1.75,-29.88,0
19-Mar-20,7.19,101524432.4,10.96,-69882024.9,-59969794.94,3193725.36,-10.91,-35.06,0.21,-39680251.66,-55734429.83,-914263.61,29.83,-25.96,-4.86,-148891654.1,3705094.01,392.72,-1.24,-29.9,0
